"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "TypeScript JSX", "XML", "JavaScript", "YAML", "CSS", "comment", "blank", "total"
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 20, 277
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 11, 128
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 7, 57
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 14, 186
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 14, 140
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 660, 0, 0, 0, 0, 12, 55, 727
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 6, 64
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 12, 117
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 74
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"c:\Users\Maheer\Documents\freelancer2\buildforce\components\userComponent\MyProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 5, 14, 168
"c:\Users\Maheer\Documents\freelancer2\buildforce\contexts\globalContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Maheer\Documents\freelancer2\buildforce\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 4, 38
"c:\Users\Maheer\Documents\freelancer2\buildforce\hooks\use-mobile.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Maheer\Documents\freelancer2\buildforce\lib\CreateCustomContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 20, 9, 88
"c:\Users\Maheer\Documents\freelancer2\buildforce\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Maheer\Documents\freelancer2\buildforce\next.config.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 13, 3, 46
"c:\Users\Maheer\Documents\freelancer2\buildforce\package.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
